,domain,name,twitter,linkedin
0,walmartstores.com,Wal-Mart Stores,walmart,walmart
3,chevron.com,ChevronTexaco,Chevron,Chevron
7,boeing.com,Boeing,Boeing,Boeing
10,jpmorganchase.com,J.P. Morgan Chase & Co.,jpmorgan,jpmorgan
12,merck.com,Merck,merck,merck
13,statefarm.com,State Farm Insurance Cos.,StateFarm,StateFarm
15,mckesson.com,McKesson,McKesson,McKesson
16,ml.com,Merrill Lynch,MerrillLynch,MerrillLynch
17,albertsons.com,Albertson's,albertsons,albertsons
22,jcpenney.net,J.C. Penney,jcpenney,jcpenney
23,metlife.com,MetLife,metlife,metlife
25,motorola.com,Motorola,Motorola,Motorola
26,allstate.com,Allstate,allstate,allstate
28,utc.com,United Technologies,UTC,UTC
31,pepsico.com,PepsiCo,pepsico,pepsico
32,wellsfargo.com,Wells Fargo,wellsfargo,wellsfargo
35,sprint.com,Sprint,sprint,sprint
36,newyorklife.com,New York Life Insurance,newyorklife,newyorklife
40,aetna.com,Aetna,aetna,aetna
42,bankone.com,Bank One Corp.,Chase,Chase
44,phillips66.com,Phillips Petroleum,Phillips66Co,Phillips66Co
47,viacom.com,Viacom,viacom,viacom
50,wachovia.com,Wachovia Corp.,wellsfargo,wellsfargo
51,cisco.com,Cisco Systems,share,share
53,lowes.com,Lowe's,lowes,lowes
56,autonation.com,AutoNation,AutoNation,AutoNation
57,qwest.com,Qwest Communications,centurylink,centurylink
59,cigna.com,Cigna,cigna,cigna
60,sun.com,Sun Microsystems,oracle,oracle
62,raytheon.com,Raytheon,raytheon,raytheon
63,xerox.com,Xerox,Xerox,Xerox
69,exeloncorp.com,Exelon,exelon,exelon
70,nationwide.com,Nationwide,nationwide,nationwide
76,gap.com,Gap,gap,gap
77,northropgrumman.com,Northrop Grumman,northropgrumman,northropgrumman
79,halliburton.com,Halliburton,halliburton,halliburton
81,kodak.com,Eastman Kodak,kodak,kodak
84,avnet.com,Avnet,Avnet,Avnet
85,wellpoint.com,WellPoint Health Networks,AnthemInc,AnthemInc
87,textron.com,Textron,textron,textron
89,up.com,Union Pacific,UnionPacific,UnionPacific
90,wm.com,Waste Management,WasteManagement,WasteManagement
93,toysrus.com,Toys `R` Us,toysrus,toysrus
94,staples.com,Staples,staples,staples
95,csc.com,Computer Sciences,CSC,CSC
98,humana.com,Humana,humana,humana
99,southernco.com,Southern,southerncompany,southerncompany
105,schering-plough.com,Schering-Plough,merck,merck
106,comcast.com,Comcast,XFINITY,XFINITY
107,aflac.com,AFLAC,aflac,aflac
109,colgate.com,Colgate-Palmolive,colgate,colgate
113,agilent.com,Agilent Technologies,agilent,agilent
115,stpaul.com,St. Paul Cos.,Travelers,Travelers
118,suntrust.com,SunTrust Banks,SunTrust,SunTrust
119,dillards.com,Dillard's,Dillards,Dillards
126,gillette.com,Gillette,gillette,gillette
128,clearchannel.com,Clear Channel Communications,iheartmedia,iheartmedia
130,aramark.com,Aramark,Aramark,Aramark
134,progressive.com,Progressive,progressive,progressive
143,omnicomgroup.com,Omnicom Group,omnicom,omnicom
144,oneok.com,Oneok,ONEOK,ONEOK
145,avaya.com,Avaya,avaya,avaya
146,unocal.com,Unocal,Chevron,Chevron
150,firstdata.com,First Data,FirstData,FirstData
152,gannett.com,Gannett,gannett,gannett
155,nscorp.com,Norfolk Southern,nscorp,nscorp
156,saic.com,Science Applications Intl.,SAICinc,SAICinc
157,lennar.com,Lennar,share,share
164,statestreet.com,State Street Corp.,StateStreet,StateStreet
165,nordstrom.com,Nordstrom,nordstrom,nordstrom
174,praxair.com,Praxair,intent,intent
179,autozone.com,AutoZone,autozone,autozone
180,radioshackcorporation.com,RadioShack,radioshack,radioshack
181,grainger.com,W.W. Grainger,grainger,grainger
183,itt.com,ITT Industries,ittcorp,ittcorp
185,mcgraw-hill.com,McGraw-Hill,MHFI,MHFI
191,drhorton.com,D.R. Horton,DRHorton,DRHorton
193,administaff.com,Administaff,insperity,insperity
194,jabil.com,Jabil Circuit,jabil,jabil
197,kellyservices.com,Kelly Services,kellyservices,kellyservices
199,ca.com,Computer Associates Intl.,CAInc,CAInc
200,lexmark.com,Lexmark International,lexmark,lexmark
202,pathmark.com,Pathmark Stores,Pathmark,Pathmark
203,amgen.com,Amgen,amgen,amgen
205,dishnetwork.com,Echostar Communications,dish,dish
206,meadwestvaco.com,MeadWestvaco,WestRock,WestRock
207,starwood.com,Starwood Hotels & Resorts,spg,spg
210,clorox.com,Clorox,intent,intent
211,amd.com,Advanced Micro Devices,amd,amd
212,steelcase.com,Steelcase,Steelcase,Steelcase
213,kiewit.com,Peter Kiewit Sons',kiewit,kiewit
215,maxtor.com,Maxtor,SEAGATE,SEAGATE
224,br-inc.com,Burlington Resources,conocophillips,conocophillips
225,usg.com,USG,usgcorp,usgcorp
226,northerntrust.com,Northern Trust Corp.,NorthernTrust,NorthernTrust
227,aal.org,Aid Association for Lutherans,thrivent,thrivent
229,gevityhr.com,Staff Leasing,trinet,trinet
230,pepsiamericas.com,PepsiAmericas,pepsico,pepsico
231,anixter.com,Anixter International,anixter,anixter
233,kindredhealthcare.com,Kindred Healthcare,kindredhealth,kindredhealth
240,reebok.com,Reebok International,Reebok,Reebok
243,truserv.com,TruServ,truevalue,truevalue
248,aal.org,Lutheran Brotherhood,thrivent,thrivent
249,spherion.com,Spherion,Spherion,Spherion
251,polyone.com,PolyOne,PolyOne,PolyOne
252,starbucks.com,Starbucks,starbucks,starbucks
262,rd.com,Reader's Digest Association,readersdigest,readersdigest
264,petsmart.com,PetsMart,petsmart,petsmart
265,alberto.com,Alberto-Culver,Unilever,Unilever
268,firsttennessee.com,First Tennessee National Corp.,firsttennessee,firsttennessee
269,rhi.com,Robert Half International,roberthalf,roberthalf
271,coat.com,Burlington Coat Factory,Burlington,Burlington
272,washingtonpost.com,Washington Post,intent,intent
274,wendys.com,Wendy's International,share,share
276,ecolab.com,Ecolab,Ecolab,Ecolab
279,convergys.com,Convergys,Convergys,Convergys
282,belk.com,Belk,belk,belk
285,lazboy.com,La-Z-Boy,lazboy,lazboy
289,tellabs.com,Tellabs,Tellabs,Tellabs
293,outback.com,Outback Steakhouse,outback,outback
295,centurytel.com,CenturyTel,centurylink,centurylink
297,swifttrans.com,Swift Transportation,SwiftTransport,SwiftTransport
298,cunamutual.com,CUNA Mutual Group,cunamutualgroup,cunamutualgroup
302,synovus.com,Synovus Financial Corp.,synovus,synovus
306,storagetek.com,Storage Technology,oracle,oracle
307,compuware.com,Compuware,compuware,compuware
309,dollartree.com,Dollar Tree Stores,dollartree,dollartree
316,sungard.com,SunGard Data Systems,SunGard,SunGard
318,safeguard.com,Safeguard Scientifics,Safeguard,Safeguard
320,ch2m.com,CH2M Hill,intent,intent
321,valspar.com,Valspar,Valspar,Valspar
322,flowserve.com,Flowserve,flowserve,flowserve
324,fiserv.com,Fiserv,fiserv,fiserv
329,jackinthebox.com,Jack in the Box,JackBox,JackBox
332,uhaul.com,Amerco,uhaul,uhaul
335,kennametal.com,Kennametal,kennametal,kennametal
339,natoil.com,National Oilwell,NOVGlobal,NOVGlobal
340,khov.com,Hovnanian Enterprises,khov,khov
342,paychex.com,Paychex,Paychex,Paychex
343,harman.com,Harman Intl. Industries,harman,harman
344,concordefs.com,Concord EFS,FirstData,FirstData
346,energizer.com,Energizer Holdings,energizer,energizer
351,perkinelmer.com,PerkinElmer,PerkinElmer,PerkinElmer
353,landsend.com,Lands' End,LandsEnd,LandsEnd
357,leggmason.com,Legg Mason,leggmason,leggmason
358,level3.com,Level 3 Communications,Level3,Level3
360,lamrc.com,Lam Research,lamresearch,lamresearch
373,atmosenergy.com,Atmos Energy,atmosenergy,atmosenergy
387,twec.com,Trans World Entertainment,officialfye,officialfye
389,nvidia.com,Nvidia,nvidia,nvidia
392,novellus.com,Novellus Systems,lamresearch,lamresearch
393,imshealth.com,IMS Health,intent,intent
395,ea.com,Electronic Arts,share,share
402,boh.com,Pacific Century Financial,bankofhawaii,bankofhawaii
403,dlx.com,Deluxe,shoutlet,shoutlet
407,varco.com,Varco International,NOVGlobal,NOVGlobal
408,amica.com,Amica Mutual Insurance,Amica,Amica
409,milacron.com,Milacron,milacron,milacron
410,intuit.com,Intuit,Intuit,Intuit
413,earthlink.net,EarthLink,earthlink,earthlink
414,ceridian.com,Ceridian,ceridian,ceridian
417,cmgi.com,CMGI,ModusLink,ModusLink
418,tek.com,Tektronix,tektronix,tektronix
423,sealy.com,Sealy,Sealy,Sealy
426,timberland.com,Timberland,Timberland,Timberland
